snapshot_date,rank,ticker,weight_pct,weight_norm_top10,company_name,target_date,fetched_asof_param
2013-06-30,2,AAPL,6.51,0.175661090124123,APPLE INC,2013-06-30,2013-06-30
2013-06-30,3,MSFT,5.17,0.1395035078251484,MICROSOFT CORP,2013-06-30,2013-06-30
2013-06-30,4,AMZN,3.56,0.0960604425256341,AMAZON COM INC,2013-06-30,2013-06-30
2013-06-30,5,GOOGL,3.1,0.0836481381543443,ALPHABET INC CLASS A,2013-06-30,2013-06-30
2013-06-30,6,AVGO,2.68,0.0723151645979492,BROADCOM INC,2013-06-30,2013-06-30
2013-06-30,7,GOOG,2.47,0.0666486778197517,ALPHABET INC CLASS C,2013-06-30,2013-06-30
2013-06-30,8,META,2.35,0.0634106853750674,META PLATFORMS INC CLASS A,2013-06-30,2013-06-30
2013-06-30,9,TSLA,1.93,0.0520777118186724,TESLA INC,2013-06-30,2013-06-30
2013-06-30,10,BRK-B,1.58,0.0426335671883432,BERKSHIRE HATHAWAY INC CLASS B,2013-06-30,2013-06-30
2013-12-31,1,AAPL,3.06,0.1692477876106194,APPLE INC,2013-12-31,2013-12-31
2013-12-31,2,XOM,2.68,0.1482300884955752,EXXON MOBIL CORP,2013-12-31,2013-12-31
2013-12-31,3,GOOGL,1.9,0.1050884955752212,GOOGLE INC CLASS A,2013-12-31,2013-12-31
2013-12-31,4,MSFT,1.72,0.0951327433628318,MICROSOFT CORP,2013-12-31,2013-12-31
2013-12-31,5,GEC,1.72,0.0951327433628318,GENERAL ELECTRIC,2013-12-31,2013-12-31
2013-12-31,6,JNJ,1.56,0.0862831858407079,JOHNSON & JOHNSON,2013-12-31,2013-12-31
2013-12-31,7,CVX,1.45,0.0801991150442477,CHEVRON CORP,2013-12-31,2013-12-31
2013-12-31,8,PG,1.34,0.0741150442477876,PROCTER & GAMBLE,2013-12-31,2013-12-31
2013-12-31,9,JPM,1.33,0.0735619469026548,JPMORGAN CHASE,2013-12-31,2013-12-31
2013-12-31,10,WFC,1.32,0.0730088495575221,WELLS FARGO,2013-12-31,2013-12-31
2014-06-30,1,AAPL,3.21,0.1849078341013824,APPLE INC,2014-06-30,2014-06-30
2014-06-30,2,XOM,2.48,0.1428571428571428,EXXON MOBIL CORP,2014-06-30,2014-06-30
2014-06-30,3,MSFT,1.8,0.1036866359447004,MICROSOFT CORP,2014-06-30,2014-06-30
2014-06-30,4,JNJ,1.7,0.097926267281106,JOHNSON & JOHNSON,2014-06-30,2014-06-30
2014-06-30,5,GE,1.51,0.0869815668202765,GENERAL ELECTRIC,2014-06-30,2014-06-30
2014-06-30,6,WFC,1.45,0.0835253456221198,WELLS FARGO,2014-06-30,2014-06-30
2014-06-30,7,CVX,1.43,0.0823732718894009,CHEVRON CORP,2014-06-30,2014-06-30
2014-06-30,8,BRK-B,1.31,0.0754608294930875,BERKSHIRE HATHAWAY INC CLASS B,2014-06-30,2014-06-30
2014-06-30,9,JPM,1.25,0.0720046082949308,JPMORGAN CHASE & CO,2014-06-30,2014-06-30
2014-06-30,10,PG,1.22,0.0702764976958525,PROCTER & GAMBLE,2014-06-30,2014-06-30
2014-12-31,1,AAPL,3.54,0.2026330852890669,APPLE INC,2014-12-31,2014-12-31
